dataset,instancia,n,M,archivo
dataset-5,DS-5-770,770,1000,instancias/dataset-5/DS-5-770.txt
dataset-5,DS-5-780,780,1000,instancias/dataset-5/DS-5-780.txt
dataset-5,DS-5-790,790,1000,instancias/dataset-5/DS-5-790.txt
dataset-5,DS-5-800,800,1000,instancias/dataset-5/DS-5-800.txt
dataset-5,DS-5-810,810,1000,instancias/dataset-5/DS-5-810.txt
dataset-5,DS-5-820,820,1000,instancias/dataset-5/DS-5-820.txt
dataset-5,DS-5-830,830,1000,instancias/dataset-5/DS-5-830.txt
dataset-5,DS-5-840,840,1000,instancias/dataset-5/DS-5-840.txt
dataset-5,DS-5-850,850,1000,instancias/dataset-5/DS-5-850.txt
dataset-5,DS-5-860,860,1000,instancias/dataset-5/DS-5-860.txt
dataset-5,DS-5-870,870,1000,instancias/dataset-5/DS-5-870.txt
dataset-5,DS-5-880,880,1000,instancias/dataset-5/DS-5-880.txt
dataset-5,DS-5-890,890,1000,instancias/dataset-5/DS-5-890.txt
dataset-5,DS-5-900,900,1000,instancias/dataset-5/DS-5-900.txt
dataset-5,DS-5-910,910,1000,instancias/dataset-5/DS-5-910.txt
dataset-5,DS-5-920,920,1000,instancias/dataset-5/DS-5-920.txt
dataset-5,DS-5-930,930,1000,instancias/dataset-5/DS-5-930.txt
dataset-5,DS-5-940,940,1000,instancias/dataset-5/DS-5-940.txt
dataset-5,DS-5-950,950,1000,instancias/dataset-5/DS-5-950.txt
dataset-5,DS-5-960,960,1000,instancias/dataset-5/DS-5-960.txt
dataset-5,DS-5-970,970,1000,instancias/dataset-5/DS-5-970.txt
dataset-5,DS-5-980,980,1000,instancias/dataset-5/DS-5-980.txt
dataset-5,DS-5-990,990,1000,instancias/dataset-5/DS-5-990.txt
dataset-5,DS-5-1000,1000,1000,instancias/dataset-5/DS-5-1000.txt
dataset-5,DS-5-1010,1010,1000,instancias/dataset-5/DS-5-1010.txt
dataset-5,DS-5-1020,1020,1000,instancias/dataset-5/DS-5-1020.txt
dataset-5,DS-5-1030,1030,1000,instancias/dataset-5/DS-5-1030.txt
dataset-5,DS-5-1040,1040,1000,instancias/dataset-5/DS-5-1040.txt
dataset-5,DS-5-1050,1050,1000,instancias/dataset-5/DS-5-1050.txt
dataset-5,DS-5-1060,1060,1000,instancias/dataset-5/DS-5-1060.txt
dataset-5,DS-5-1070,1070,1000,instancias/dataset-5/DS-5-1070.txt
dataset-5,DS-5-1080,1080,1000,instancias/dataset-5/DS-5-1080.txt
dataset-5,DS-5-1090,1090,1000,instancias/dataset-5/DS-5-1090.txt
dataset-5,DS-5-1100,1100,1000,instancias/dataset-5/DS-5-1100.txt
dataset-5,DS-5-1110,1110,1000,instancias/dataset-5/DS-5-1110.txt
dataset-5,DS-5-1120,1120,1000,instancias/dataset-5/DS-5-1120.txt
dataset-5,DS-5-1130,1130,1000,instancias/dataset-5/DS-5-1130.txt
dataset-5,DS-5-1140,1140,1000,instancias/dataset-5/DS-5-1140.txt
dataset-5,DS-5-1150,1150,1000,instancias/dataset-5/DS-5-1150.txt
dataset-5,DS-5-1160,1160,1000,instancias/dataset-5/DS-5-1160.txt
dataset-5,DS-5-1170,1170,1000,instancias/dataset-5/DS-5-1170.txt
dataset-5,DS-5-1180,1180,1000,instancias/dataset-5/DS-5-1180.txt
dataset-5,DS-5-1190,1190,1000,instancias/dataset-5/DS-5-1190.txt
dataset-5,DS-5-1200,1200,1000,instancias/dataset-5/DS-5-1200.txt
dataset-5,DS-5-1210,1210,1000,instancias/dataset-5/DS-5-1210.txt
dataset-5,DS-5-1220,1220,1000,instancias/dataset-5/DS-5-1220.txt
dataset-5,DS-5-1230,1230,1000,instancias/dataset-5/DS-5-1230.txt
dataset-5,DS-5-1240,1240,1000,instancias/dataset-5/DS-5-1240.txt
dataset-5,DS-5-1250,1250,1000,instancias/dataset-5/DS-5-1250.txt
dataset-5,DS-5-1260,1260,1000,instancias/dataset-5/DS-5-1260.txt
dataset-5,DS-5-1270,1270,1000,instancias/dataset-5/DS-5-1270.txt
dataset-5,DS-5-1280,1280,1000,instancias/dataset-5/DS-5-1280.txt
dataset-5,DS-5-1290,1290,1000,instancias/dataset-5/DS-5-1290.txt
dataset-5,DS-5-1300,1300,1000,instancias/dataset-5/DS-5-1300.txt
dataset-5,DS-5-1310,1310,1000,instancias/dataset-5/DS-5-1310.txt
dataset-5,DS-5-1320,1320,1000,instancias/dataset-5/DS-5-1320.txt
dataset-5,DS-5-1330,1330,1000,instancias/dataset-5/DS-5-1330.txt
dataset-5,DS-5-1340,1340,1000,instancias/dataset-5/DS-5-1340.txt
dataset-5,DS-5-1350,1350,1000,instancias/dataset-5/DS-5-1350.txt
dataset-5,DS-5-1360,1360,1000,instancias/dataset-5/DS-5-1360.txt
dataset-5,DS-5-1370,1370,1000,instancias/dataset-5/DS-5-1370.txt
dataset-5,DS-5-1380,1380,1000,instancias/dataset-5/DS-5-1380.txt
dataset-5,DS-5-1390,1390,1000,instancias/dataset-5/DS-5-1390.txt
dataset-5,DS-5-1400,1400,1000,instancias/dataset-5/DS-5-1400.txt
dataset-5,DS-5-1410,1410,1000,instancias/dataset-5/DS-5-1410.txt
dataset-5,DS-5-1420,1420,1000,instancias/dataset-5/DS-5-1420.txt
dataset-5,DS-5-1430,1430,1000,instancias/dataset-5/DS-5-1430.txt
dataset-5,DS-5-1440,1440,1000,instancias/dataset-5/DS-5-1440.txt
dataset-5,DS-5-1450,1450,1000,instancias/dataset-5/DS-5-1450.txt
dataset-5,DS-5-1460,1460,1000,instancias/dataset-5/DS-5-1460.txt
dataset-5,DS-5-1470,1470,1000,instancias/dataset-5/DS-5-1470.txt
dataset-5,DS-5-1480,1480,1000,instancias/dataset-5/DS-5-1480.txt
dataset-5,DS-5-1490,1490,1000,instancias/dataset-5/DS-5-1490.txt
dataset-5,DS-5-1500,1500,1000,instancias/dataset-5/DS-5-1500.txt
dataset-5,DS-5-1510,1510,1000,instancias/dataset-5/DS-5-1510.txt
dataset-5,DS-5-1520,1520,1000,instancias/dataset-5/DS-5-1520.txt
dataset-5,DS-5-1530,1530,1000,instancias/dataset-5/DS-5-1530.txt
dataset-5,DS-5-1540,1540,1000,instancias/dataset-5/DS-5-1540.txt
dataset-5,DS-5-1550,1550,1000,instancias/dataset-5/DS-5-1550.txt
dataset-5,DS-5-1560,1560,1000,instancias/dataset-5/DS-5-1560.txt
dataset-5,DS-5-1570,1570,1000,instancias/dataset-5/DS-5-1570.txt
dataset-5,DS-5-1580,1580,1000,instancias/dataset-5/DS-5-1580.txt
dataset-5,DS-5-1590,1590,1000,instancias/dataset-5/DS-5-1590.txt
dataset-5,DS-5-1600,1600,1000,instancias/dataset-5/DS-5-1600.txt
dataset-5,DS-5-1610,1610,1000,instancias/dataset-5/DS-5-1610.txt
dataset-5,DS-5-1620,1620,1000,instancias/dataset-5/DS-5-1620.txt
dataset-5,DS-5-1630,1630,1000,instancias/dataset-5/DS-5-1630.txt
dataset-5,DS-5-1640,1640,1000,instancias/dataset-5/DS-5-1640.txt
dataset-5,DS-5-1650,1650,1000,instancias/dataset-5/DS-5-1650.txt
dataset-5,DS-5-1660,1660,1000,instancias/dataset-5/DS-5-1660.txt
dataset-5,DS-5-1670,1670,1000,instancias/dataset-5/DS-5-1670.txt
dataset-5,DS-5-1680,1680,1000,instancias/dataset-5/DS-5-1680.txt
dataset-5,DS-5-1690,1690,1000,instancias/dataset-5/DS-5-1690.txt
dataset-5,DS-5-1700,1700,1000,instancias/dataset-5/DS-5-1700.txt
dataset-5,DS-5-1710,1710,1000,instancias/dataset-5/DS-5-1710.txt
dataset-5,DS-5-1720,1720,1000,instancias/dataset-5/DS-5-1720.txt
dataset-5,DS-5-1730,1730,1000,instancias/dataset-5/DS-5-1730.txt
dataset-5,DS-5-1740,1740,1000,instancias/dataset-5/DS-5-1740.txt
dataset-5,DS-5-1750,1750,1000,instancias/dataset-5/DS-5-1750.txt
dataset-5,DS-5-1760,1760,1000,instancias/dataset-5/DS-5-1760.txt
dataset-5,DS-5-1770,1770,1000,instancias/dataset-5/DS-5-1770.txt
dataset-5,DS-5-1780,1780,1000,instancias/dataset-5/DS-5-1780.txt
dataset-5,DS-5-1790,1790,1000,instancias/dataset-5/DS-5-1790.txt
dataset-5,DS-5-1800,1800,1000,instancias/dataset-5/DS-5-1800.txt
dataset-5,DS-5-1810,1810,1000,instancias/dataset-5/DS-5-1810.txt
dataset-5,DS-5-1820,1820,1000,instancias/dataset-5/DS-5-1820.txt
dataset-5,DS-5-1830,1830,1000,instancias/dataset-5/DS-5-1830.txt
dataset-5,DS-5-1840,1840,1000,instancias/dataset-5/DS-5-1840.txt
dataset-5,DS-5-1850,1850,1000,instancias/dataset-5/DS-5-1850.txt
dataset-5,DS-5-1860,1860,1000,instancias/dataset-5/DS-5-1860.txt
dataset-5,DS-5-1870,1870,1000,instancias/dataset-5/DS-5-1870.txt
dataset-5,DS-5-1880,1880,1000,instancias/dataset-5/DS-5-1880.txt
dataset-5,DS-5-1890,1890,1000,instancias/dataset-5/DS-5-1890.txt
dataset-5,DS-5-1900,1900,1000,instancias/dataset-5/DS-5-1900.txt
dataset-5,DS-5-1910,1910,1000,instancias/dataset-5/DS-5-1910.txt
dataset-5,DS-5-1920,1920,1000,instancias/dataset-5/DS-5-1920.txt
dataset-5,DS-5-1930,1930,1000,instancias/dataset-5/DS-5-1930.txt
dataset-5,DS-5-1940,1940,1000,instancias/dataset-5/DS-5-1940.txt
dataset-5,DS-5-1950,1950,1000,instancias/dataset-5/DS-5-1950.txt
dataset-5,DS-5-1960,1960,1000,instancias/dataset-5/DS-5-1960.txt
dataset-5,DS-5-1970,1970,1000,instancias/dataset-5/DS-5-1970.txt
dataset-5,DS-5-1980,1980,1000,instancias/dataset-5/DS-5-1980.txt
dataset-5,DS-5-1990,1990,1000,instancias/dataset-5/DS-5-1990.txt
dataset-5,DS-5-2000,2000,1000,instancias/dataset-5/DS-5-2000.txt
